"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.363005910E-1,-9.571290761E-2,-3.828516230E-2,9.865608215E0,9.866146774E0
2.386868410E-1,-1.028913707E-1,-4.067798331E-2,9.863214493E0,9.863835028E0
2.410730910E-1,-9.810572863E-2,-4.307080805E-2,9.872786522E0,9.873367892E0
2.434593410E-1,-1.052841991E-1,-4.785645381E-2,9.875179291E0,9.875856471E0
2.458456430E-1,-9.810572863E-2,-3.349951655E-2,9.882357597E0,9.882901327E0
2.482318930E-1,-1.052841991E-1,-3.349951655E-2,9.872786522E0,9.873404716E0
2.506181430E-1,-1.052841991E-1,-4.067798331E-2,9.865608215E0,9.866253844E0
2.530044450E-1,-1.028913707E-1,-4.307080805E-2,9.858428955E0,9.859059955E0
2.553906950E-1,-1.028913707E-1,-5.024927482E-2,9.846465111E0,9.847130892E0
2.577769450E-1,-9.332008660E-2,-3.349951655E-2,9.875179291E0,9.875677034E0
2.601632470E-1,-8.135596663E-2,-4.307080805E-2,9.877572060E0,9.878000996E0
2.625494970E-1,-7.896314561E-2,-4.067798331E-2,9.870393753E0,9.870793419E0
2.649357470E-1,-6.699903309E-2,-3.828516230E-2,9.875179291E0,9.875480781E0
2.673219970E-1,-9.092725813E-2,-3.349951655E-2,9.879964828E0,9.880440020E0
2.697082990E-1,-9.332008660E-2,-5.264209956E-2,9.875179291E0,9.875760520E0
2.720945490E-1,-1.004985496E-1,-3.828516230E-2,9.875179291E0,9.875764868E0
2.744807990E-1,-1.028913707E-1,-3.349951655E-2,9.863214493E0,9.863808037E0
2.768671020E-1,-1.004985496E-1,-4.546362907E-2,9.863214493E0,9.863831255E0
2.792533520E-1,-8.614161611E-2,-4.307080805E-2,9.877572060E0,9.878041570E0
2.816396020E-1,-9.810572863E-2,-3.828516230E-2,9.879964828E0,9.880526074E0
2.840259040E-1,-8.853443712E-2,-2.871387079E-2,9.868000984E0,9.868439910E0
2.864121540E-1,-8.374879509E-2,-2.871387079E-2,9.860821724E0,9.861219165E0
2.887984040E-1,-8.374879509E-2,-4.785645381E-2,9.865608215E0,9.866079746E0
2.911847060E-1,-8.853443712E-2,-5.024927482E-2,9.870393753E0,9.870918710E0
2.935709560E-1,-9.810572863E-2,-4.785645381E-2,9.860821724E0,9.861425863E0
2.959572060E-1,-9.092725813E-2,-5.503492057E-2,9.856036186E0,9.856609250E0
2.983434560E-1,-9.810572863E-2,-5.503492057E-2,9.856036186E0,9.856678085E0
3.007297580E-1,-8.374879509E-2,-4.546362907E-2,9.860821724E0,9.861282162E0
3.031160080E-1,-7.896314561E-2,-5.264209956E-2,9.844072342E0,9.844529783E0
3.055022580E-1,-9.332008660E-2,-4.067798331E-2,9.870393753E0,9.870918710E0
3.078885080E-1,-8.853443712E-2,-4.785645381E-2,9.863214493E0,9.863727932E0
3.102748100E-1,-9.810572863E-2,-5.264209956E-2,9.872786522E0,9.873414284E0
3.126610600E-1,-8.135596663E-2,-4.546362907E-2,9.868000984E0,9.868441070E0
3.150473100E-1,-8.853443712E-2,-5.024927482E-2,9.865608215E0,9.866133427E0
3.174336120E-1,-8.135596663E-2,-4.785645381E-2,9.868000984E0,9.868452384E0
3.198198620E-1,-7.896314561E-2,-3.349951655E-2,9.863214493E0,9.863587457E0
3.222061120E-1,-8.614161611E-2,-4.546362907E-2,9.856036186E0,9.856517469E0
3.245923620E-1,-7.417750359E-2,-5.982056633E-2,9.870393753E0,9.870853744E0
3.269786640E-1,-8.614161611E-2,-5.982056633E-2,9.872786522E0,9.873343536E0
3.293649140E-1,-7.178468257E-2,-2.153540403E-2,9.865608215E0,9.865892878E0
3.317511640E-1,-9.332008660E-2,-3.349951655E-2,9.865608215E0,9.866106441E0
3.341374660E-1,-9.810572863E-2,-4.307080805E-2,9.863214493E0,9.863796427E0
3.365237160E-1,-9.810572863E-2,-2.871387079E-2,9.870393753E0,9.870923060E0
3.389099660E-1,-1.100698411E-1,-3.589234129E-2,9.868000984E0,9.868680107E0
3.412962160E-1,-9.332008660E-2,-3.589234129E-2,9.865608215E0,9.866114856E0
3.436825180E-1,-1.004985496E-1,-5.264209956E-2,9.870393753E0,9.871045739E0
3.460687680E-1,-1.124626622E-1,-3.589234129E-2,9.877572060E0,9.878277477E0
3.484550180E-1,-9.810572863E-2,-5.024927482E-2,9.877572060E0,9.878187056E0
3.508413200E-1,-8.614161611E-2,-6.460621208E-2,9.870393753E0,9.870981065E0
3.532275700E-1,-8.135596663E-2,-4.307080805E-2,9.856036186E0,9.856466060E0
3.556138200E-1,-7.896314561E-2,-5.024927482E-2,9.863214493E0,9.863658566E0
3.580000700E-1,-8.374879509E-2,-5.264209956E-2,9.865608215E0,9.866104120E0
3.603863720E-1,-9.810572863E-2,-4.067798331E-2,9.865608215E0,9.866179853E0
3.627726220E-1,-1.028913707E-1,-3.828516230E-2,9.879964828E0,9.880574750E0
3.651588720E-1,-9.810572863E-2,-5.024927482E-2,9.882357597E0,9.882972296E0
3.675451740E-1,-9.571290761E-2,-2.632104978E-2,9.882357597E0,9.882856138E0
3.699314240E-1,-9.332008660E-2,-3.589234129E-2,9.870393753E0,9.870900148E0
3.723176740E-1,-8.374879509E-2,-3.589234129E-2,9.882357597E0,9.882777636E0
3.747039240E-1,-8.135596663E-2,-4.307080805E-2,9.875179291E0,9.875608331E0
3.770902270E-1,-8.614161611E-2,-5.503492057E-2,9.868000984E0,9.868530420E0
3.794764770E-1,-9.092725813E-2,-4.067798331E-2,9.863214493E0,9.863717484E0
3.818627270E-1,-9.571290761E-2,-3.589234129E-2,9.865608215E0,9.866137779E0
3.842489770E-1,-9.571290761E-2,-3.828516230E-2,9.863214493E0,9.863753182E0
3.866352790E-1,-9.810572863E-2,-4.785645381E-2,9.841679573E0,9.842284887E0
3.890215290E-1,-9.571290761E-2,-4.546362907E-2,9.858428955E0,9.858998396E0
3.914077790E-1,-8.853443712E-2,-4.067798331E-2,9.875179291E0,9.875659931E0
3.937940290E-1,-8.614161611E-2,-3.828516230E-2,9.868000984E0,9.868451224E0
3.961803310E-1,-6.699903309E-2,-4.067798331E-2,9.877572060E0,9.877883041E0
3.985665810E-1,-9.092725813E-2,-4.307080805E-2,9.872786522E0,9.873299173E0
4.009528310E-1,-8.614161611E-2,-4.307080805E-2,9.875179291E0,9.875648915E0
4.033391330E-1,-1.004985496E-1,-4.067798331E-2,9.868000984E0,9.868596561E0
4.057253830E-1,-8.853443712E-2,-2.632104978E-2,9.875179291E0,9.875611230E0
4.081116330E-1,-7.657032460E-2,-2.153540403E-2,9.870393753E0,9.870714241E0
4.104978830E-1,-7.417750359E-2,-3.110669367E-2,9.889535904E0,9.889863008E0
4.128841850E-1,-9.332008660E-2,-5.024927482E-2,9.872786522E0,9.873355424E0
4.152704350E-1,-9.571290761E-2,-5.024927482E-2,9.875179291E0,9.875770956E0
4.176566850E-1,-9.810572863E-2,-5.024927482E-2,9.858428955E0,9.859045146E0
4.200429350E-1,-1.028913707E-1,-4.067798331E-2,9.863214493E0,9.863835028E0
4.224292370E-1,-1.052841991E-1,-5.024927482E-2,9.853643417E0,9.854333988E0
4.248154870E-1,-9.092725813E-2,-5.024927482E-2,9.860821724E0,9.861368963E0
4.272017370E-1,-9.571290761E-2,-4.067798331E-2,9.858428955E0,9.858977489E0
4.295879870E-1,-7.896314561E-2,-3.110669367E-2,9.868000984E0,9.868365935E0
4.319742890E-1,-8.853443712E-2,-5.024927482E-2,9.882357597E0,9.882881919E0
4.343605390E-1,-9.810572863E-2,-3.110669367E-2,9.872786522E0,9.873322950E0
4.367467890E-1,-8.374879509E-2,-3.589234129E-2,9.872786522E0,9.873206968E0
4.391330390E-1,-8.135596663E-2,-5.742774159E-2,9.870393753E0,9.870896088E0
4.415193410E-1,-8.853443712E-2,-5.503492057E-2,9.872786522E0,9.873336867E0
4.439055910E-1,-1.004985496E-1,-4.067798331E-2,9.870393753E0,9.870989185E0
4.462918410E-1,-8.614161611E-2,-5.024927482E-2,9.879964828E0,9.880468126E0
4.486780910E-1,-7.896314561E-2,-5.024927482E-2,9.877572060E0,9.878015487E0
4.510643930E-1,-8.374879509E-2,-4.785645381E-2,9.858428955E0,9.858900829E0
4.534506430E-1,-8.853443712E-2,-2.632104978E-2,9.870393753E0,9.870825902E0
4.558368930E-1,-9.092725813E-2,-1.435693540E-2,9.865608215E0,9.866037672E0
4.582231430E-1,-9.332008660E-2,-4.067798331E-2,9.870393753E0,9.870918710E0
4.606094450E-1,-9.092725813E-2,-4.307080805E-2,9.868000984E0,9.868513884E0
4.629956950E-1,-1.028913707E-1,-3.589234129E-2,9.863214493E0,9.863816453E0
4.653819450E-1,-1.004985496E-1,-3.110669367E-2,9.868000984E0,9.868561750E0
4.677682470E-1,-8.374879509E-2,-3.110669367E-2,9.863214493E0,9.863619093E0
4.701544970E-1,-9.332008660E-2,-3.828516230E-2,9.868000984E0,9.868516495E0
4.725407470E-1,-1.052841991E-1,-4.067798331E-2,9.877572060E0,9.878216907E0
4.749269970E-1,-9.092725813E-2,-5.264209956E-2,9.875179291E0,9.875738199E0
4.773132470E-1,-9.092725813E-2,-4.785645381E-2,9.882357597E0,9.882891768E0
4.796995490E-1,-9.571290761E-2,-5.503492057E-2,9.872786522E0,9.873403846E0
