"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.046819360E-1,-8.135596663E-2,-1.196411327E-1,9.808179855E0,9.809246906E0
2.070677170E-1,-6.939185411E-2,-1.076770201E-1,9.765109062E0,9.765949240E0
2.094534990E-1,-6.460621208E-2,-1.100698411E-1,9.710074425E0,9.710913174E0
2.118392800E-1,-6.939185411E-2,-1.196411327E-1,9.690931320E0,9.691918235E0
2.142250610E-1,-7.417750359E-2,-1.148554832E-1,9.681360245E0,9.682325664E0
2.166108420E-1,-7.178468257E-2,-1.316052526E-1,9.698110580E0,9.699269138E0
2.189966240E-1,-8.374879509E-2,-1.483550072E-1,9.722038269E0,9.723530798E0
2.213824050E-1,-1.004985496E-1,-1.555334777E-1,9.774680138E0,9.776434034E0
2.237681860E-1,-1.148554832E-1,-1.483550072E-1,9.827322960E0,9.829113772E0
2.261539670E-1,-8.614161611E-2,-1.268195957E-1,9.872786522E0,9.873976772E0
2.285397490E-1,-1.004985496E-1,-1.459621787E-1,9.882357597E0,9.883946408E0
2.309255300E-1,-1.196411327E-1,-1.363908947E-1,9.894321442E0,9.895984704E0
2.333113110E-1,-1.124626622E-1,-1.220339537E-1,9.870393753E0,9.871788742E0
2.356970920E-1,-1.076770201E-1,-1.411765367E-1,9.832108498E0,9.833711541E0
2.380828740E-1,-1.076770201E-1,-1.387837082E-1,9.801001549E0,9.802575509E0
2.404686550E-1,-1.220339537E-1,-1.100698411E-1,9.777072906E0,9.778453982E0
2.428544360E-1,-1.076770201E-1,-1.052841991E-1,9.760323524E0,9.761485256E0
2.452402170E-1,-1.100698411E-1,-1.028913707E-1,9.755537987E0,9.756701462E0
2.476259990E-1,-9.092725813E-2,-1.028913707E-1,9.743574142E0,9.744541624E0
2.500117800E-1,-8.853443712E-2,-9.332008660E-2,9.745966911E0,9.746815789E0
2.523975090E-1,-9.571290761E-2,-1.172483116E-1,9.738788605E0,9.739964662E0
2.547833420E-1,-1.052841991E-1,-1.220339537E-1,9.729216576E0,9.730551486E0
2.571690720E-1,-1.004985496E-1,-1.339980662E-1,9.738788605E0,9.740228895E0
2.595548530E-1,-1.076770201E-1,-1.268195957E-1,9.750752449E0,9.752171598E0
2.619406340E-1,-1.100698411E-1,-1.220339537E-1,9.755537987E0,9.756922110E0
2.643264150E-1,-1.172483116E-1,-1.268195957E-1,9.753145218E0,9.754674368E0
2.667121970E-1,-9.332008660E-2,-1.076770201E-1,9.743574142E0,9.744615952E0
2.690979780E-1,-8.853443712E-2,-8.853443712E-2,9.729216576E0,9.730022193E0
2.714837590E-1,-1.172483116E-1,-9.092725813E-2,9.748359680E0,9.749488776E0
2.738695400E-1,-1.148554832E-1,-7.657032460E-2,9.748359680E0,9.749336965E0
2.762553220E-1,-1.148554832E-1,-5.742774159E-2,9.710074425E0,9.710923492E0
2.786411030E-1,-9.810572863E-2,-7.178468257E-2,9.698110580E0,9.698872440E0
2.810268840E-1,-9.571290761E-2,-9.092725813E-2,9.698110580E0,9.699009102E0
2.834126650E-1,-9.332008660E-2,-7.417750359E-2,9.702896118E0,9.703628395E0
2.857984470E-1,-7.417750359E-2,-7.896314561E-2,9.726823807E0,9.727427144E0
2.881842280E-1,-8.374879509E-2,-1.004985496E-1,9.753145218E0,9.754022527E0
2.905700090E-1,-7.178468257E-2,-1.292124242E-1,9.784252167E0,9.785368637E0
2.929557900E-1,-8.135596663E-2,-1.028913707E-1,9.801001549E0,9.801879248E0
2.953415720E-1,-7.657032460E-2,-9.092725813E-2,9.786644936E0,9.787366851E0
2.977273530E-1,-7.657032460E-2,-8.614161611E-2,9.791430473E0,9.792108767E0
3.001131340E-1,-8.853443712E-2,-8.853443712E-2,9.829715729E0,9.830513110E0
3.024989150E-1,-8.135596663E-2,-1.004985496E-1,9.824930191E0,9.825780987E0
3.048846970E-1,-8.374879509E-2,-1.124626622E-1,9.848857880E0,9.849856001E0
3.072704780E-1,-1.004985496E-1,-1.124626622E-1,9.851250648E0,9.852405145E0
3.096562590E-1,-8.853443712E-2,-1.220339537E-1,9.853643417E0,9.854796762E0
3.120420400E-1,-1.028913707E-1,-9.810572863E-2,9.836894035E0,9.837921306E0
3.144278220E-1,-1.076770201E-1,-8.614161611E-2,9.812965393E0,9.813934202E0
3.168136030E-1,-1.004985496E-1,-8.135596663E-2,9.784252167E0,9.785106500E0
